label,No,Date,Content
0,0,"""2020-04-23T22:05","""이렇게 디자인이 좋은데... 왜 2020 그랜저는 디자인이 아반떼냐ㅑㅑㅑ"""
1,1,"""2020-04-22T16:28","""견적좀 함 부탁드립니다.."""
2,2,"""2020-04-19T11:08","""버그인가 항상 애가 조회수 1위네"""
2,3,"""2020-04-16T10:16","""왜 실검1위? 뭔일 났나??"""
2,4,"""2020-04-13T12:13","""얘는 왜 항상 인기 조회수순 1등인건지????????????? 몇년간 1등인데"""
1,5,"""2020-04-01T06:33","""방금 볼보랑 보고왔는데 다시한번 느낀다 차는 그렌져지 물론 ig"""
1,6,"""2020-04-01T06:29","""다 필요없다 차는 그렌져지 물론ig"""
0,7,"""2020-03-24T13:40","""한마디로 특해야"""
0,8,"""2020-03-23T10:57","""이차조회수 누가 조작하냐?"""
1,9,"""2020-03-09T16:59","""ㄹㅇ 이때 그랜저 디자인이 우주명작, 과하지도 부족하지도 않음"""
0,10,"""2016-11-06T14:49","""제네시스 4000km 주행 했는차를 한달전 매입했습니다.그런데 5000km 되어서 오일교환하고 쿠폰을 제시했더니, 최초구입자만 무료가 되고 중고차 매입자는 안된다고 하네요. (무료쿠폰내용 : 엔진오일세트 15회, 에어컨필터 7회, 등등 약200~300만원상당) 차량가격에 모두 포함되어서 판매되었다고 본다면 당연히 중고차로 매입해도 서비스기간 이내라면 쿠폰이 있으면 서비스를 해 주어야 하지 않나요? 최초구입자만 A/S를 해주고 중고차로 구입한사람은 A/S를 해 주지 않는다는 것과 다를 바가 없네요. 역시 현대차는 우리 국민을 우롱하는 처사는 여전한 것 같네요.최초구입자나 중고매입자나 발행했던 쿠폰, 서비스는 똑같이 혜택을 받아야 되는게 아닌가요?최초 구입한 사람은 제네시스를 구입했고,  중고차로 구입한 사람은 제네시스가 아닌 똥차구입 한건가요?읽어 보시고 공감이 가시면 BEST에 올라갈수 있게 추천 부탁드립니다"""
0,11,"""2016-11-03T14:06","""좀전까지 그랜저 세타엔진까는글이 베뎃이었는데 순식간에사라졌네 ? ㄷㄷ"""
0,12,"""2016-11-05T16:43","""센터페시아 뭔가아쉽다....네비옆에 시계도뭔가 어색해보이고....."""
0,13,"""2020-01-17T13:22","""직원활인30푸로면 차값이얼마야,,일반국민이 봉이네, 2년지나서팔아도 본전이상은되고 또신차교체하고,좀 심하다"""
1,14,"""2020-01-05T16:47","""ㄹㅇ 다시보니 선녀네"""
1,15,"""2019-12-03T10:54","""2.4 풀옵션 견적 요청드립니다.\n- 전액 현금구매 / 파노라마 썬루프 제외"""
1,16,"""2019-11-19T15:02","""그랜저 ig 가솔린 2.4 풀옵션 올현찰구매 견적좀 부탁드립니다.지역은 인천 서구 입니다.cheol1186@naver.com"""
1,17,"""2019-11-05T16:15","""아니, 이렇게 무게감 있는 디자인에서 왜 2020으로 넘어가니까 아반떼가 되냐? 진짜 이해안되네"""
2,18,"""2019-11-03T18:54","""마약광택제로 이쁘게 관리하세요"""
2,19,"""2019-11-01T21:47","""왜 아직도 계속 실검 1위지?"""
0,20,"""2019-10-22T13:14","""그랜져닷지따라해데\n뒤"""
0,21,"""2019-10-08T16:10","""다필요없고 운전 뭐같이 하는애들은 왜 하나같이 다 그렌져 쳐 몰고다니냐? 꼭 깜빡이 안키고 갠세놓고 사고유발하는차 보면 꼭 그렌져드라 꼭, 그렌져 타는애들은 양아치운전법이 기본장착되야 살수있냐?"""
2,22,"""2019-10-07T17:26","""실검 1위 무슨 이유 ?"""
2,23,"""2019-10-01T19:55","""조회수 조작하나?"""
1,24,"""2019-09-23T15:29","""그랜져ig 하이브리드 중옵 견적 요청드립니다\nrai0214@naver.com"""
2,25,"""2019-08-18T12:02","""앤 갑자기 왜 실검 1위지; 나올때돼서 재고떨이중인가;"""
0,26,"""2019-08-11T16:56","""그랜저가 이렇게 비싼나?"""
0,27,"""2019-07-10T19:53","""디자인 줠라 맘에 안들었는지 제네시스 엠블럼에 그릴좀 처넣지마라 제네오너들 엄청 쪽팔려하더라;;;"""
0,28,"""2019-06-10T12:31","""세타엔진 조은가요 그리고  외국놈들 엔진이 더조은거쓴다고 하던데 맞나요"""
0,29,"""2019-06-07T21:12","""대영님의  말씀은 정당한 이야기네요\n현대차는 중고를 사는분은 고객이 아닌가요 \n정말 이상한 회사내요"""
1,30,"""2019-05-12T21:43","""2018그랜져 2.4가솔린 36 or 60개월 선수금 1000만원  견적 부탁드립니다. shinkoangfa@naver.com 경기 오산"""
1,31,"""2018-04-06T19:56","""2018그랜져 2.4가솔린 기본형 경기도 시흥 견적부탁드립니다.  (선수금2000 가능) matlehrt@naver.com"""
2,32,"""2018-04-06T14:12","""국내최초 환급형플랜 SH오토리스이제 자동차도 환급 받는 시대!환급형플랜은 차량 계약시 차량의 월 이용료 40% 본사 보조 지원, km수 무제한, 하·허·호 차량번호판 대신 일반 번호판 사용, 매년 자동차세 50% 본사 지원, 차량의 감가상각 부담 제로, 본인 재산권 소유, 신차 계약시 해당 브랜드 프로모션 동일 적용 -네이버 검색창에 환급형플랜 또는 sh오토리스 검색전국 콜센터: 1661-6110"""
1,33,"""2018-03-30T11:22","""그랜저 ig 가솔린 2.4 풀옵션 올현찰구매 견적좀 부탁드립니다.\n지역은 서울 송파구입니다.\nmin31404@naver.com"""
0,34,"""2018-03-28T00:55","""뒷모습을 어디서 많이 봤다 했더니 완전 닷지 다트인데?"""
0,35,"""2018-03-21T22:01","""흉기자동차측에서 R-MDPS타입 핸들이 국내 도로사정에 안맞아서 그랜저,K7에 안넣었다고 했는데 이번 신형싼타페에는 R-MDPS를 장착했다면서 부심 부리는데... 1~2년만에 국내 도로 사정이 바꼈나봐요???? 정말 대단하다!!"""
1,36,"""2018-02-05T12:57","""그랜저도 많이 젊어져서, 30대 초중반이 구매하기에 적합한 디자인으로 나왔네요~\n예전엔 그래도 아반떼=20대, 쏘나타=30대, 그랜저=40, 제네시스=50대, 에큐스=60대 였는데...\n서민 경제 어렵다고해도, 그랜저 월 1만대 이상씩 판매되는거 보면 살림살이 많이 좋아졌나 봅니다 ㅠㅠ\n그랜저도 너무 흔해져서, 제네시스 정도 돼야 '아~ 잘사는 집이구나' 할 정도네요 ㅠㅠ"""
1,37,"""2018-02-05T12:40","""그랜져ig2.4프리미엄 견적부탁드립니다. 옵션은 따로 기재해주시고 현찰구매입니다.\nsunrize6@naver.com"""
0,38,"""2018-01-29T11:19","""외제차되는데 ㅋㅋ;;; 아우디 뉴 tt 삿는데 무상as에  바우처까지 (100만원) 명의이전해도 가능합니다"""
1,39,"""2018-01-19T11:06","""그랜저IG 흰색 2.2디젤프리(익스/스마스센스), 가솔린 흰색 3.0 익스클루시브(익스/스마스센스) 견적 부탁 드립니다. 지역은 서울 가산동 이며 1천만원에 48개월 할부로 현금할인 적용하여 견적 부탁 드립니다. miso348@naver.com 저렴한 견적 부탁드리며 견적서 검토 후 바로 계약 진행 예정 입니다."""
0,40,"""2018-01-13T19:56","""흉기자동차측에서 R-MDPS타입 핸들이 국내 도로사정에 안맞아서 그랜저,K7에 안넣었다고 했는데 이번 신형쏘렌토에는 R-MDPS를 장착했다면서 부심 부리더라구요... 1~2년만에 국내 도로 사정이 바꼈나봐요????"""
1,41,"""2018-01-08T15:52","""그랜저 ig 2.4 프리미엄 +익스테리어 패키지1 견적 부탁드립니다. 지역은 부산이고 블박+썬팅적용 및 현금일시불 조건입니다.(HYUN82DA@NAVER.COM) 감사합니다."""
1,42,"""2017-12-25T18:07","""그랜저 ig 2.4 프리미엄 스페셜+익스테리어 패키지랑 스마트 센스 패키지 추가로 견적 부탁드립니다..1월초 구매 예정이고 선수 1천만원에 36개월할부로 블박, 하이패스, 썬팅 등 추가장치 없고 가능한 현금할인 적용해서 부탁 드립니다. 지역은 부산입니다. hyj1760@naver.com"""
1,43,"""2017-12-22T23:46","""그랜져 ig 2.2 가솔린 견적문의좀 부탁드립니다 선수금 2천5백만원/나머지 할부로할거구요 할부로해서도 최대한 빠르게처리할겁니다 아버님선물로드리려고하는데 잘몰라서요 ^^ smj552@naver.com 견적부탁드립니다 1월초에 구매할예정입니다. 구매한다고 바로 차있나요? 아니면 기다려야되나요 ? 아는분 쪽지나 메일좀 부탁드리겠습니다"""
1,44,"""2017-12-22T23:46","""그랜져 ig 2.2 가솔린 견적문의좀 부탁드립니다 선수금 2천5백만원/나머지 할부로할거구요 할부로해서도 최대한 빠르게처리할겁니다 아버님선물로드리려고하는데 잘몰라서요 ^^ smj552@naver.com 견적부탁드립니다 1월초에 구매할예정입니다. 구매한다고 바로 차있나요? 아니면 기다려야되나요 ? 아는분 쪽지나 메일좀 부탁드리겠습니다"""
0,45,"""2017-12-22T11:49","""http://v.auto.daum.net/v/20171222074440624\n\n오늘 또 미션문제 기사로 나오네? 엔진은 어떻고?\n자동차의 가장 중요한 엔진.미션이 이렇게 허접한걸 호갱들은 넘쳐나니 \n현대차 올해 미국적자 3535억원,중국적자 2008억원.. 자국민 호갱들 넘쳐나네"""
1,46,"""2017-12-20T19:27","""그랜져 ig 2.2  디젤 프리미엄 견적문의요\n선수금 2천만원/나머지 할부 (24개월,36개월2가지로) 견적부탁드립니다.\n옵션은 썬루프,HUD 2개 넣고\n견적 부탁드립니다 가장 저렴한 딜러분께 내일 당장 할겁니다. 급합니다.\ndhqhrrlfdl@naver.com \n/ 이번주 내로 바로 할겁니다. 가장저렴한 견적 부탁드립니다."""
1,47,"""2017-12-20T19:26","""그랜져 ig 2.2  디젤 프리미엄 견적문의요\n선수금 2천만원/나머지 할부 (24개월,36개월2가지로) 견적부탁드립니다.\n옵션은 썬루프,HUD 2개 넣고\n견적 부탁드립니다 가장 저렴한 딜러분께 내일 당장 할겁니다. 급합니다.\ndhqhrrlfdl@naver.com / 이번주 내로 바로 할겁니다. 가장저렴한 견적 부탁드립니다."""
0,48,"""2017-12-19T20:20","""앞모습 개못생김;; 아마도 BMW 따라하다가 망한거같은데..."""
0,49,"""2017-12-18T22:22","""아날로그 진짜 실화냐?? 실물보고 무슨 수능시곈줄 알았다. 싼마이 진짜.."""
1,50,"""2017-12-18T03:33","""니들이 아무리 나대도 월 만대이상팔린다 찐따색끼들아"""
2,51,"""2017-12-17T16:06","""ㄹ6"""
2,52,"""2017-12-17T16:05",""".ㅊ"""
1,53,"""2017-12-16T12:08","""그랜저 ig 2018년 3.0익스클루시브 \n전액현금 구입원합니다. 견적부탁드립니다. magicfuture@naver.com"""
0,54,"""2017-12-14T20:55","""웃긴게 다른 수입브랜드들은 제로백,최고속도같은 운동성능이 다 기재되는데 흉기차는 웬만하면 다 공백. 그나마 제네시스 쿠페 기재해놓은것도 350마력으로 겨우 제로백 5.9초를 뽑아낸거. 계속 껍데기만 신경쓰다 망해라."""
0,55,"""2017-12-11T01:02","""5월 28일에 3.0 풀옵 출고 했다. 하체 탄탄하다. 근데 아버지 뒤에 모셨더니 차가 왜이러냐더라... 더이상 사장님차는 아니다. 서스는 탄탄한데 가속감은 별로다. 기대하지마라. 그리고 센터페시아에 아날로그 시계 말 많은데 난 이쁘기만하더라. 결론은 그냥 존나 만족스러운 차는 아니다. 좀 어중간한 세단... 근데 한가지 이야기하고싶은건, 차 5년이상  안팔고 탈거면 소나타 말리부 sm6 풀옵가까이 보고있으면 그랜져로 와라. 훨씬 좋다. 2.0 세금은 얼만지 모르겠는데 2.4는 60 3.0은 72다. 그정도 차이 감수 할 만한 가치는 있더라."""
1,56,"""2017-12-09T14:06","""역시 네이버 자동차 클라스네 아픈사람들 많긴하다 현대가 차 아무리 좋게 만들어도 깔사람들만 모여있구만"""
