,작성자,채팅 내용,작성시간
0,이학렬,ㅡ애초에ㅡ중국차단했으면.ㅡ우린코로나 ㅡ청정국,2020-12-31 19:33:47
0,판다,지금 백신이 있냐???있지도않은 백신 미래에 나오게되면 내가살께...이게 계약이냐...,2020-12-31 19:33:52
0,이학렬,ㅡ공수처에ㅡ눈갈뒤집혀ㅡ미처날뛰는ㅡ쩝쩌비,2020-12-31 19:33:53
0,물부리왕,너무 많이 사는거 아니냐 문씨가???,2020-12-31 19:33:55
0,모니,깨무니들은 중국산 백신 추천함,2020-12-31 19:34:00
0,김용문,간첩 때려 잡으면 1억주냐?,2020-12-31 19:34:00
0,킴위원,대(가리) 깨(질) 문(상아리),2020-12-31 19:34:05
0,이학렬,ㅡ애초에ㅡ중국차단했으면.ㅡ우린코로나 ㅡ청정국.대만,2020-12-31 19:34:05
0,댕히,뉴있저 어케 봐요,2020-12-31 19:34:06
0,야생화편지,@항려리..악마?눌갈뒤딥혀?,2020-12-31 19:34:06
0,Sinclair Post,시키면 시키는대로 해라 학렬아 한대 마즐래?,2020-12-31 19:34:07
0,응ᄒ,모두낳나 ~ ~,2020-12-31 19:34:12
0,차호박,공짜로 살아오진 않았는데 전🎃🎃🎄🎄🎐🎆,2020-12-31 19:34:15
0,August,삐죽이들 세금 세배씩 더 걷어야한다 ㅋㅋㅋㅋ,2020-12-31 19:34:18
0,raven park,차라리 코라나 걸리게해서 격리 시켜줘라 .. 항체 만들게 혼자서 ㅋㅋ,2020-12-31 19:34:19
0,왕귀요미ワンギヨミ,백신은 유통때 사고나는걸대비해야함,2020-12-31 19:34:22
0,김용문,간첩 1명당 1억 맞음?,2020-12-31 19:34:22
0,허준,재소자 인권 신경써라 갱심이 죽는다,2020-12-31 19:34:23
0,중2바른말,중국산 ? 시노팜? ㅋㅋㅋ,2020-12-31 19:34:23
0,야생화편지,@항려라 너 따라해주게,2020-12-31 19:34:28
0,이학렬,ㅡ방역대란.ㅡ부동산대란.ㅡ민주당 ㅡ자멸의길로,2020-12-31 19:34:28
0,윤케이,백신은겨울철에맞아야한다,2020-12-31 19:34:28
0,김대승,모니 대탄닭은 일본 방사능 좋아하는거 아님?,2020-12-31 19:34:31
0,라스푸친,판다야 지금 미영프 구매 물량 전부 입도선매야 ㅋㅋㅋㅋ,2020-12-31 19:34:32
0,댕히,뉴있저 어케 봐요,2020-12-31 19:34:32
0,김용주,님들아 대통령 누가 돈주고 외국인 여성 대리고 와서 결혼 시작해죠 비인간적으로 돈으로 방치한 대통령은 최악에 대령령이다 위대한 대한민국인들 숫천년 우리의남한 협통 감소 시키죄 벌 받아야하다,2020-12-31 19:34:33
0,이학렬,ㅡ공수처빨고ㅡ헬렐레ㅡ쩝쩌비ㅡ개판방역,2020-12-31 19:34:36
0,소나무,백신 맞고싶다,2020-12-31 19:34:38
0,박근우,3차 재난지원금 전국민 공평하게 확정,2020-12-31 19:34:39
0,왕귀요미ワンギヨミ,저 백신들이 공짜냐 돈받느냐 문제인데???,2020-12-31 19:34:42
0,이학렬,ㅡ국민들이ㅡ치를떠는.ㅡ믄제인,2020-12-31 19:34:44
0,로 로,정치만 4년간 바따,2020-12-31 19:34:44
0,모니,김대승 중국산 기다려 효과 죽인데 ㅋ,2020-12-31 19:34:48
0,판다,그걸계약이라고하는건 우리나라밖에없음,2020-12-31 19:34:49
0,킴위원,뉴있저 -> 문있저,2020-12-31 19:34:49
0,S J,개인방역 잘하자!^^,2020-12-31 19:34:50
0,역시 난 최고다,진짜 다행이고 감사하다 문정부 아니었으면 어쩔뻔했나~~국짐당이 여당이었다면ㅠㅠ생각도 하기싫다 감사합니다 문재인대통령님 문정부 민주당 응원합니다👍,2020-12-31 19:34:51
0,허준,ㅅ☺🤣,2020-12-31 19:34:54
0,차호박,기초수급자로 이리 자괴감이 들게 만드니깐 미치겠네요,2020-12-31 19:34:55
0,Peter Yong,지금 백신은 생체실험용이다,2020-12-31 19:34:55
